unit_id,category,question_text,options,answer_index,explanation,image_url
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (+11) - (+7) \),"[""\\(4\\)"", ""\\(18\\)"", ""\\(-4\\)"", ""\\(14\\)""]",1,符号に注意して計算すると、答えは \( 4 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (+9) - (+12) \),"[""\\(21\\)"", ""\\(-3\\)"", ""\\(3\\)"", ""\\(7\\)""]",2,符号に注意して計算すると、答えは \( -3 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (+0) - (+23) \),"[""\\(23\\)"", ""\\(-13\\)"", ""\\(-23\\)"", ""\\(-22\\)""]",3,符号に注意して計算すると、答えは \( -23 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (-13) - (+25) \),"[""\\(12\\)"", ""\\(38\\)"", ""\\(-28\\)"", ""\\(-38\\)""]",4,符号に注意して計算すると、答えは \( -38 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (-9) - (+78) \),"[""\\(-87\\)"", ""\\(69\\)"", ""\\(87\\)"", ""\\(-77\\)""]",1,符号に注意して計算すると、答えは \( -87 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (+12) - (-69) \),"[""\\(-57\\)"", ""\\(81\\)"", ""\\(-81\\)"", ""\\(91\\)""]",2,符号に注意して計算すると、答えは \( 81 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (-54) - (-37) \),"[""\\(-91\\)"", ""\\(17\\)"", ""\\(-17\\)"", ""\\(-7\\)""]",3,符号に注意して計算すると、答えは \( -17 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (-16) - (-173) \),"[""\\(-189\\)"", ""\\(-157\\)"", ""\\(167\\)"", ""\\(157\\)""]",4,符号に注意して計算すると、答えは \( 157 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (+327) - (-48) \),"[""\\(375\\)"", ""\\(279\\)"", ""\\(-375\\)"", ""\\(385\\)""]",1,符号に注意して計算すると、答えは \( 375 \) です。,
正負の数の計算（対戦モード用）,1.正負の数,次の計算をしなさい。\( (-8) + (+15) \),"[""\\(-23\\)"", ""\\(7\\)"", ""\\(-7\\)"", ""\\(17\\)""]",2,符号に注意して計算すると、答えは \( 7 \) です。,
